ID,대출등급
TEST_00265,B
TEST_00266,B
TEST_00267,F
TEST_00268,A
TEST_00269,D
TEST_00270,B
TEST_00271,B
TEST_00272,B
TEST_00273,C
TEST_00274,E
TEST_00275,C
TEST_00276,A
TEST_00277,B
TEST_00278,C
TEST_00279,F
TEST_00280,C
TEST_00281,D
TEST_00282,C
TEST_00283,A
TEST_00284,D
TEST_00285,B
TEST_00286,C
TEST_00287,C
TEST_00288,A
TEST_00289,B
TEST_00290,B
TEST_00291,A
TEST_00292,B
TEST_00293,B
TEST_00294,F
TEST_00295,A
TEST_00296,A
TEST_00297,B
TEST_00298,D
TEST_00299,A
TEST_00300,B
TEST_00301,A
TEST_00302,C
TEST_00303,C
TEST_00304,A
TEST_00305,B
TEST_00306,C
TEST_00307,B
TEST_00308,E
TEST_00309,F
TEST_00310,C
TEST_00311,B
TEST_00312,C
TEST_00313,F
TEST_00314,B
TEST_00315,C
TEST_00316,C
TEST_00317,A
TEST_00318,A
TEST_00319,D
TEST_00320,D
TEST_00321,B
TEST_00322,C
TEST_00323,D
TEST_00324,B
TEST_00325,B
TEST_00326,A
TEST_00327,B
TEST_00328,D
TEST_00329,E
TEST_00330,A
TEST_00331,C
TEST_00332,E
TEST_00333,C
TEST_00334,C
TEST_00335,A
TEST_00336,C
TEST_00337,A
TEST_00338,C
TEST_00339,B
TEST_00340,B
TEST_00341,B
TEST_00342,C
TEST_00343,B
TEST_00344,C
TEST_00345,B
TEST_00346,B
TEST_00347,D
TEST_00348,E
TEST_00349,B
TEST_00350,E
TEST_00351,A
TEST_00352,C
TEST_00353,C
TEST_00354,B
TEST_00355,E
TEST_00356,F
TEST_00357,B
TEST_00358,C
TEST_00359,B
TEST_00360,C
TEST_00361,B
TEST_00362,E
TEST_00363,B
TEST_00364,B
TEST_00365,A
TEST_00366,B
TEST_00367,B
TEST_00368,D
TEST_00369,D
TEST_00370,E
TEST_00371,B
TEST_00372,F
TEST_00373,A
TEST_00374,B
TEST_00375,B
TEST_00376,A
TEST_00377,A
TEST_00378,C
TEST_00379,A
TEST_00380,B
TEST_00381,B
TEST_00382,G
TEST_00383,A
TEST_00384,C
TEST_00385,A
TEST_00386,C
TEST_00387,B
TEST_00388,B
TEST_00389,A
TEST_00390,F
TEST_00391,B
TEST_00392,B
TEST_00393,A
TEST_00394,B
TEST_00395,E
TEST_00396,B
TEST_00397,B
TEST_00398,B
TEST_00399,C
TEST_00400,B
TEST_00401,F
TEST_00402,A
TEST_00403,C
TEST_00404,B
TEST_00405,A
TEST_00406,B
TEST_00407,A
TEST_00408,B
TEST_00409,A
TEST_00410,B
TEST_00411,A
TEST_00412,B
TEST_00413,A
TEST_00414,B
TEST_00415,C
TEST_00416,D
TEST_00417,D
TEST_00418,B
TEST_00419,B
TEST_00420,D
TEST_00421,D
TEST_00422,C
TEST_00423,E
TEST_00424,C
TEST_00425,B
TEST_00426,D
TEST_00427,B
TEST_00428,B
TEST_00429,A
TEST_00430,A
TEST_00431,C
TEST_00432,B
TEST_00433,D
TEST_00434,C
TEST_00435,B
TEST_00436,A
TEST_00437,B
TEST_00438,B
TEST_00439,B
TEST_00440,F
TEST_00441,E
TEST_00442,C
TEST_00443,B
TEST_00444,B
TEST_00445,B
TEST_00446,B
TEST_00447,C
TEST_00448,C
TEST_00449,B
TEST_00450,F
TEST_00451,F
TEST_00452,C
TEST_00453,F
TEST_00454,C
TEST_00455,F
TEST_00456,E
TEST_00457,B
TEST_00458,C
TEST_00459,C
TEST_00460,D
TEST_00461,B
TEST_00462,B
TEST_00463,D
TEST_00464,A
TEST_00465,B
TEST_00466,B
TEST_00467,B
TEST_00468,A
TEST_00469,A
TEST_00470,A
TEST_00471,E
TEST_00472,B
TEST_00473,C
TEST_00474,B
TEST_00475,A
TEST_00476,B
TEST_00477,B
TEST_00478,C
TEST_00479,B
TEST_00480,A
TEST_00481,C
TEST_00482,F
TEST_00483,C
TEST_00484,A
TEST_00485,C
TEST_00486,B
TEST_00487,F
TEST_00488,E
TEST_00489,C
TEST_00490,F
TEST_00491,C
TEST_00492,B
TEST_00493,B
TEST_00494,B
TEST_00495,B
TEST_00496,B
TEST_00497,A
TEST_00498,C
TEST_00499,D
TEST_00500,D
TEST_00501,B
TEST_00502,A
TEST_00503,C
TEST_00504,A
TEST_00505,B
TEST_00506,F
TEST_00507,B
TEST_00508,B
TEST_00509,C
TEST_00510,C
TEST_00511,C
TEST_00512,C
TEST_00513,B
TEST_00514,B
TEST_00515,C
TEST_00516,A
TEST_00517,B
TEST_00518,E
TEST_00519,B
TEST_00520,B
TEST_00521,B
TEST_00522,B
TEST_00523,B
TEST_00524,A
TEST_00525,A
TEST_00526,B
TEST_00527,B
TEST_00528,B
TEST_00529,C
TEST_00530,D
TEST_00531,B
TEST_00532,D
TEST_00533,A
TEST_00534,A
TEST_00535,B
TEST_00536,B
TEST_00537,B
TEST_00538,A
TEST_00539,C
TEST_00540,B
TEST_00541,B
TEST_00542,B
TEST_00543,B
TEST_00544,B
TEST_00545,B
TEST_00546,C
TEST_00547,D
TEST_00548,E
TEST_00549,B
TEST_00550,D
TEST_00551,A
TEST_00552,B
TEST_00553,A
TEST_00554,B
TEST_00555,F
TEST_00556,B
TEST_00557,B
TEST_00558,A
TEST_00559,A
TEST_00560,F
TEST_00561,B
TEST_00562,A
TEST_00563,C
TEST_00564,F
TEST_00565,C
TEST_00566,B
TEST_00567,B
TEST_00568,B
TEST_00569,B
TEST_00570,B
TEST_00571,B
TEST_00572,B
TEST_00573,D
TEST_00574,C
TEST_00575,B
TEST_00576,C
TEST_00577,B
TEST_00578,B
TEST_00579,A
TEST_00580,A
TEST_00581,F
TEST_00582,B
TEST_00583,A
TEST_00584,B
TEST_00585,D
TEST_00586,C
TEST_00587,B
TEST_00588,C
TEST_00589,E
TEST_00590,C
TEST_00591,F
TEST_00592,C
TEST_00593,D
TEST_00594,B
TEST_00595,C
TEST_00596,C
TEST_00597,D
TEST_00598,B
TEST_00599,B
TEST_00600,A
TEST_00601,B
TEST_00602,B
TEST_00603,C
TEST_00604,C
TEST_00605,B
TEST_00606,C
TEST_00607,E
TEST_00608,F
TEST_00609,B
TEST_00610,B
TEST_00611,B
TEST_00612,B
TEST_00613,B
TEST_00614,D
TEST_00615,E
TEST_00616,C
TEST_00617,B
TEST_00618,E
TEST_00619,C
TEST_00620,E
TEST_00621,A
TEST_00622,C
TEST_00623,B
TEST_00624,C
TEST_00625,B
TEST_00626,B
TEST_00627,B
TEST_00628,A
TEST_00629,E
TEST_00630,A
TEST_00631,C
TEST_00632,C
TEST_00633,B
TEST_00634,B
TEST_00635,C
TEST_00636,E
TEST_00637,E
TEST_00638,B
TEST_00639,B
TEST_00640,D
TEST_00641,F
TEST_00642,B
TEST_00643,C
TEST_00644,C
TEST_00645,B
TEST_00646,D
TEST_00647,B
TEST_00648,B
TEST_00649,D
TEST_00650,A
TEST_00651,C
TEST_00652,A
TEST_00653,C
TEST_00654,B
TEST_00655,B
TEST_00656,C
TEST_00657,C
TEST_00658,B
TEST_00659,B
TEST_00660,B
TEST_00661,D
TEST_00662,B
TEST_00663,F
TEST_00664,B
TEST_00665,A
TEST_00666,C
TEST_00667,C
TEST_00668,C
TEST_00669,B
TEST_00670,D
TEST_00671,C
TEST_00672,B
TEST_00673,C
TEST_00674,D
TEST_00675,B
TEST_00676,C
TEST_00677,C
TEST_00678,A
TEST_00679,C
TEST_00680,A
TEST_00681,C
TEST_00682,C
TEST_00683,A
TEST_00684,A
TEST_00685,B
TEST_00686,C
TEST_00687,D
TEST_00688,B
TEST_00689,C
TEST_00690,F
TEST_00691,B
TEST_00692,B
TEST_00693,F
TEST_00694,B
TEST_00695,A
TEST_00696,C
TEST_00697,D
TEST_00698,B
TEST_00699,F
TEST_00700,B
TEST_00701,A
TEST_00702,C
TEST_00703,E
TEST_00704,D
TEST_00705,B
TEST_00706,D
TEST_00707,A
TEST_00708,B
TEST_00709,C
TEST_00710,D
TEST_00711,F
TEST_00712,B
TEST_00713,B
TEST_00714,B
TEST_00715,C
TEST_00716,A
TEST_00717,C
TEST_00718,A
TEST_00719,B
TEST_00720,C
TEST_00721,C
TEST_00722,C
TEST_00723,E
TEST_00724,D
TEST_00725,C
TEST_00726,B
TEST_00727,B
TEST_00728,A
TEST_00729,D
TEST_00730,A
TEST_00731,E
TEST_00732,D
TEST_00733,B
TEST_00734,B
TEST_00735,D
TEST_00736,E
TEST_00737,A
TEST_00738,E
TEST_00739,B
TEST_00740,B
TEST_00741,B
TEST_00742,F
TEST_00743,C
TEST_00744,B
TEST_00745,D
TEST_00746,B
TEST_00747,B
TEST_00748,C
TEST_00749,B
TEST_00750,B
TEST_00751,B
TEST_00752,A
TEST_00753,A
TEST_00754,A
TEST_00755,B
TEST_00756,B
TEST_00757,B
TEST_00758,B
TEST_00759,E
TEST_00760,B
TEST_00761,C
TEST_00762,D
TEST_00763,B
TEST_00764,B
TEST_00765,B
TEST_00766,B
TEST_00767,B
TEST_00768,E
TEST_00769,A
TEST_00770,C
TEST_00771,A
TEST_00772,C
TEST_00773,C
TEST_00774,C
TEST_00775,B
TEST_00776,D
TEST_00777,B
TEST_00778,A
TEST_00779,B
TEST_00780,B
TEST_00781,C
TEST_00782,C
TEST_00783,D
TEST_00784,D
TEST_00785,A
TEST_00786,A
TEST_00787,A
TEST_00788,E
TEST_00789,A
TEST_00790,B
TEST_00791,B
TEST_00792,C
TEST_00793,B
TEST_00794,D
TEST_00795,E
TEST_00796,C
TEST_00797,B
TEST_00798,A
TEST_00799,B
TEST_00800,F
TEST_00801,C
TEST_00802,B
TEST_00803,B
TEST_00804,D
TEST_00805,B
TEST_00806,B
TEST_00807,C
TEST_00808,B
TEST_00809,B
TEST_00810,B
TEST_00811,C
TEST_00812,C
TEST_00813,C
TEST_00814,D
TEST_00815,A
TEST_00816,F
TEST_00817,B
TEST_00818,C
TEST_00819,B
TEST_00820,B
TEST_00821,C
TEST_00822,C
TEST_00823,C
TEST_00824,A
TEST_00825,C
TEST_00826,B
TEST_00827,C
TEST_00828,B
TEST_00829,A
TEST_00830,A
TEST_00831,F
TEST_00832,C
TEST_00833,A
TEST_00834,B
TEST_00835,B
TEST_00836,D
TEST_00837,D
TEST_00838,B
TEST_00839,B
TEST_00840,A
TEST_00841,C
TEST_00842,B
TEST_00843,B
TEST_00844,B
TEST_00845,B
TEST_00846,C
TEST_00847,B
TEST_00848,B
TEST_00849,B
TEST_00850,B
TEST_00851,B
TEST_00852,C
TEST_00853,F
TEST_00854,B
TEST_00855,C
TEST_00856,D
TEST_00857,A
TEST_00858,C
TEST_00859,B
TEST_00860,B
TEST_00861,C
TEST_00862,E
TEST_00863,A
TEST_00864,C
TEST_00865,A
TEST_00866,B
TEST_00867,F
TEST_00868,A
TEST_00869,D
TEST_00870,C
TEST_00871,B
TEST_00872,B
TEST_00873,C
TEST_00874,A
TEST_00875,C
TEST_00876,B
TEST_00877,C
TEST_00878,B
TEST_00879,B
TEST_00880,C
TEST_00881,D
TEST_00882,B
TEST_00883,C
TEST_00884,A
TEST_00885,D
TEST_00886,B
TEST_00887,C
TEST_00888,D
TEST_00889,A
TEST_00890,B
TEST_00891,C
TEST_00892,A
TEST_00893,B
TEST_00894,D
TEST_00895,F
TEST_00896,B
TEST_00897,F
TEST_00898,B
TEST_00899,C
TEST_00900,F
TEST_00901,B
TEST_00902,B
TEST_00903,A
TEST_00904,C
TEST_00905,B
TEST_00906,B
TEST_00907,B
TEST_00908,B
TEST_00909,A
TEST_00910,B
TEST_00911,B
TEST_00912,B
TEST_00913,A
TEST_00914,A
TEST_00915,F
TEST_00916,B
TEST_00917,D
TEST_00918,C
TEST_00919,G
TEST_00920,B
TEST_00921,D
TEST_00922,D
TEST_00923,C
TEST_00924,B
TEST_00925,D
TEST_00926,F
TEST_00927,B
TEST_00928,D
TEST_00929,A
TEST_00930,B
TEST_00931,C
TEST_00932,D
TEST_00933,B
TEST_00934,C
TEST_00935,F
TEST_00936,C
TEST_00937,E
TEST_00938,B
TEST_00939,C
TEST_00940,B
TEST_00941,A
TEST_00942,C
TEST_00943,B
TEST_00944,A
TEST_00945,A
TEST_00946,B
TEST_00947,A
TEST_00948,B
TEST_00949,B
TEST_00950,F
TEST_00951,E
TEST_00952,D
TEST_00953,C
TEST_00954,B
TEST_00955,D
TEST_00956,B
TEST_00957,C
TEST_00958,F
TEST_00959,C
TEST_00960,B
TEST_00961,C
TEST_00962,A
TEST_00963,A
TEST_00964,B
TEST_00965,B
TEST_00966,A
TEST_00967,C
TEST_00968,C
TEST_00969,D
TEST_00970,D
TEST_00971,A
TEST_00972,B
TEST_00973,C
TEST_00974,B
TEST_00975,D
TEST_00976,A
TEST_00977,A
TEST_00978,B
TEST_00979,C
TEST_00980,A
TEST_00981,C
TEST_00982,B
TEST_00983,B
TEST_00984,B
TEST_00985,C
TEST_00986,A
TEST_00987,B
TEST_00988,B
TEST_00989,B
TEST_00990,D
TEST_00991,B
TEST_00992,B
TEST_00993,A
TEST_00994,B
TEST_00995,B
TEST_00996,A
TEST_00997,A
TEST_00998,B
TEST_00999,C
TEST_01000,B
TEST_01001,A
TEST_01002,A
TEST_01003,A
TEST_01004,F
TEST_01005,B
TEST_01006,C
TEST_01007,C
TEST_01008,B
TEST_01009,B
TEST_01010,D
TEST_01011,B
TEST_01012,C
TEST_01013,C
TEST_01014,A
TEST_01015,B
TEST_01016,B
TEST_01017,B
TEST_01018,B
TEST_01019,C
TEST_01020,B
TEST_01021,B
TEST_01022,D
TEST_01023,B
TEST_01024,C
TEST_01025,B
TEST_01026,C
TEST_01027,A
TEST_01028,B
TEST_01029,B
TEST_01030,C
TEST_01031,C
TEST_01032,A
TEST_01033,A
TEST_01034,A
TEST_01035,E
TEST_01036,D
TEST_01037,A
TEST_01038,A
TEST_01039,B
TEST_01040,C
TEST_01041,B
TEST_01042,B
TEST_01043,B
TEST_01044,B
TEST_01045,C
TEST_01046,C
TEST_01047,B
TEST_01048,B
TEST_01049,B
TEST_01050,B
TEST_01051,B
TEST_01052,D
TEST_01053,B
TEST_01054,A
TEST_01055,B
TEST_01056,B
TEST_01057,B
TEST_01058,F
TEST_01059,B
TEST_01060,C
TEST_01061,A
TEST_01062,A
TEST_01063,C
TEST_01064,C
TEST_01065,A
TEST_01066,C
TEST_01067,D
TEST_01068,B
TEST_01069,C
TEST_01070,B
TEST_01071,D
TEST_01072,B
TEST_01073,B
TEST_01074,B
TEST_01075,A
TEST_01076,D
TEST_01077,C
TEST_01078,C
TEST_01079,D
TEST_01080,A
TEST_01081,B
TEST_01082,B
TEST_01083,B
TEST_01084,B
TEST_01085,F
TEST_01086,C
TEST_01087,A
TEST_01088,B
TEST_01089,B
TEST_01090,D
TEST_01091,B
TEST_01092,D
TEST_01093,B
TEST_01094,C
TEST_01095,C
TEST_01096,B
TEST_01097,A
TEST_01098,F
TEST_01099,C
TEST_01100,B
TEST_01101,B
TEST_01102,B
TEST_01103,C
TEST_01104,B
TEST_01105,E
TEST_01106,D
TEST_01107,B
TEST_01108,C
TEST_01109,C
TEST_01110,A
TEST_01111,B
TEST_01112,B
TEST_01113,B
TEST_01114,B
TEST_01115,C
TEST_01116,D
TEST_01117,F
TEST_01118,A
TEST_01119,B
TEST_01120,F
TEST_01121,C
TEST_01122,C
TEST_01123,B
TEST_01124,C
TEST_01125,E
TEST_01126,F
TEST_01127,A
TEST_01128,A
TEST_01129,B
TEST_01130,F
TEST_01131,B
TEST_01132,F
TEST_01133,F
TEST_01134,C
TEST_01135,C
TEST_01136,B
TEST_01137,C
TEST_01138,B
TEST_01139,A
TEST_01140,B
TEST_01141,C
TEST_01142,C
TEST_01143,E
TEST_01144,C
TEST_01145,C
TEST_01146,B
TEST_01147,B
TEST_01148,B
TEST_01149,C
TEST_01150,B
TEST_01151,C
TEST_01152,B
TEST_01153,C
TEST_01154,D
TEST_01155,C
TEST_01156,E
TEST_01157,E
TEST_01158,B
TEST_01159,F
TEST_01160,A
TEST_01161,B
TEST_01162,F
TEST_01163,C
TEST_01164,A
TEST_01165,B
TEST_01166,B
TEST_01167,B
TEST_01168,C
TEST_01169,A
TEST_01170,B
TEST_01171,A
TEST_01172,A
TEST_01173,B
TEST_01174,B
TEST_01175,A
TEST_01176,D
TEST_01177,C
TEST_01178,C
TEST_01179,B
TEST_01180,B
TEST_01181,A
TEST_01182,D
TEST_01183,C
TEST_01184,B
TEST_01185,A
TEST_01186,B
TEST_01187,A
TEST_01188,D
TEST_01189,B
TEST_01190,B
TEST_01191,A
TEST_01192,B
TEST_01193,E
TEST_01194,C
TEST_01195,F
TEST_01196,C
TEST_01197,D
TEST_01198,F
TEST_01199,A
TEST_01200,A
TEST_01201,B
TEST_01202,C
TEST_01203,B
TEST_01204,B
TEST_01205,E
TEST_01206,B
TEST_01207,C
TEST_01208,C
TEST_01209,C
TEST_01210,A
TEST_01211,F
TEST_01212,A
TEST_01213,B
TEST_01214,C
TEST_01215,C
TEST_01216,D
TEST_01217,C
TEST_01218,A
TEST_01219,B
TEST_01220,A
TEST_01221,C
TEST_01222,D
TEST_01223,C
TEST_01224,A
TEST_01225,B
TEST_01226,C
TEST_01227,B
TEST_01228,A
TEST_01229,B
TEST_01230,B
TEST_01231,B
TEST_01232,E
TEST_01233,D
TEST_01234,F
TEST_01235,B
TEST_01236,D
TEST_01237,A
TEST_01238,A
TEST_01239,D
TEST_01240,B
TEST_01241,B
TEST_01242,B
TEST_01243,B
TEST_01244,E
TEST_01245,E
TEST_01246,B
TEST_01247,B
TEST_01248,A
TEST_01249,B
TEST_01250,E
TEST_01251,D
TEST_01252,D
TEST_01253,A
TEST_01254,B
TEST_01255,B
TEST_01256,A
TEST_01257,B
TEST_01258,F
TEST_01259,D
TEST_01260,A
TEST_01261,F
TEST_01262,G
TEST_01263,B
TEST_01264,B
TEST_01265,B
TEST_01266,B
TEST_01267,B
TEST_01268,B
TEST_01269,B
TEST_01270,C
TEST_01271,A
TEST_01272,B
TEST_01273,C
TEST_01274,B
TEST_01275,C
TEST_01276,C
TEST_01277,C
TEST_01278,C
TEST_01279,F
TEST_01280,A
TEST_01281,B
TEST_01282,B
TEST_01283,C
TEST_01284,A
TEST_01285,D
TEST_01286,C
TEST_01287,C
TEST_01288,C
TEST_01289,C
TEST_01290,A
TEST_01291,B
TEST_01292,A
TEST_01293,C
TEST_01294,E
TEST_01295,D
TEST_01296,B
TEST_01297,B
TEST_01298,B
TEST_01299,C
TEST_01300,B
TEST_01301,C
TEST_01302,C
TEST_01303,B
TEST_01304,C
TEST_01305,B
TEST_01306,B
TEST_01307,B
TEST_01308,B
TEST_01309,A
TEST_01310,A
TEST_01311,B
TEST_01312,C
TEST_01313,D
TEST_01314,C
TEST_01315,B
TEST_01316,B
TEST_01317,C
TEST_01318,D
TEST_01319,A
TEST_01320,C
TEST_01321,C
TEST_01322,B
TEST_01323,D
TEST_01324,C
TEST_01325,E
TEST_01326,B
TEST_01327,B
TEST_01328,B
TEST_01329,A
TEST_01330,B
TEST_01331,C
TEST_01332,F
TEST_01333,B
TEST_01334,B
TEST_01335,C
TEST_01336,C
TEST_01337,E
TEST_01338,A
TEST_01339,E
TEST_01340,E
TEST_01341,B
TEST_01342,B
TEST_01343,B
TEST_01344,F
TEST_01345,C
TEST_01346,B
TEST_01347,A
TEST_01348,A
TEST_01349,B
TEST_01350,B
TEST_01351,D
TEST_01352,A
TEST_01353,B
TEST_01354,C
TEST_01355,B
TEST_01356,B
TEST_01357,A
TEST_01358,B
TEST_01359,A
TEST_01360,B
TEST_01361,C
TEST_01362,F
TEST_01363,C
TEST_01364,A
TEST_01365,B
TEST_01366,C
TEST_01367,B
TEST_01368,B
TEST_01369,A
TEST_01370,F
TEST_01371,C
TEST_01372,B
TEST_01373,C
TEST_01374,A
TEST_01375,A
TEST_01376,B
TEST_01377,B
TEST_01378,D
TEST_01379,F
TEST_01380,B
TEST_01381,B
TEST_01382,A
TEST_01383,A
TEST_01384,F
TEST_01385,D
TEST_01386,D
TEST_01387,B
TEST_01388,A
TEST_01389,B
TEST_01390,C
TEST_01391,A
TEST_01392,A
TEST_01393,B
TEST_01394,B
TEST_01395,B
TEST_01396,B
TEST_01397,C
TEST_01398,B
TEST_01399,D
TEST_01400,C
TEST_01401,A
TEST_01402,A
TEST_01403,A
TEST_01404,B
TEST_01405,C
TEST_01406,C
TEST_01407,A
TEST_01408,B
TEST_01409,C
TEST_01410,D
TEST_01411,A
TEST_01412,D
TEST_01413,C
TEST_01414,F
TEST_01415,B
TEST_01416,F
TEST_01417,A
TEST_01418,B
TEST_01419,C
TEST_01420,A
TEST_01421,B
TEST_01422,A
TEST_01423,C
TEST_01424,B
TEST_01425,C
TEST_01426,B
TEST_01427,C
TEST_01428,A
TEST_01429,D
TEST_01430,F
TEST_01431,B
TEST_01432,C
TEST_01433,B
TEST_01434,A
TEST_01435,D
TEST_01436,B
TEST_01437,B
TEST_01438,C
TEST_01439,A
TEST_01440,F
TEST_01441,C
TEST_01442,B
TEST_01443,A
TEST_01444,A
TEST_01445,B
TEST_01446,B
TEST_01447,F
TEST_01448,A
TEST_01449,C
TEST_01450,B
TEST_01451,B
TEST_01452,F
TEST_01453,F
TEST_01454,B
TEST_01455,B
TEST_01456,A
TEST_01457,B
TEST_01458,F
TEST_01459,B
TEST_01460,B
TEST_01461,C
TEST_01462,B
TEST_01463,E
TEST_01464,E
TEST_01465,C
TEST_01466,C
TEST_01467,D
TEST_01468,B
TEST_01469,E
TEST_01470,B
TEST_01471,B
TEST_01472,A
TEST_01473,B
TEST_01474,B
TEST_01475,B
TEST_01476,C
TEST_01477,C
TEST_01478,A
TEST_01479,B
TEST_01480,D
TEST_01481,C
TEST_01482,B
TEST_01483,B
TEST_01484,B
TEST_01485,C
TEST_01486,B
TEST_01487,B
TEST_01488,B
TEST_01489,C
TEST_01490,C
TEST_01491,C
TEST_01492,A
TEST_01493,B
TEST_01494,B
TEST_01495,B
TEST_01496,D
TEST_01497,C
TEST_01498,B
TEST_01499,B
TEST_01500,B
TEST_01501,B
TEST_01502,A
TEST_01503,B
TEST_01504,D
TEST_01505,C
TEST_01506,C
TEST_01507,B
TEST_01508,B
TEST_01509,C
TEST_01510,B
TEST_01511,C
TEST_01512,B
TEST_01513,C
TEST_01514,C
TEST_01515,E
TEST_01516,E
TEST_01517,B
TEST_01518,A
TEST_01519,F
TEST_01520,B
TEST_01521,D
TEST_01522,B
TEST_01523,B
TEST_01524,E
TEST_01525,B
TEST_01526,B
TEST_01527,B
TEST_01528,D
TEST_01529,B
TEST_01530,D
TEST_01531,B
TEST_01532,E
TEST_01533,B
TEST_01534,B
TEST_01535,C
TEST_01536,A
TEST_01537,B
TEST_01538,B
TEST_01539,C
TEST_01540,G
TEST_01541,B
TEST_01542,B
TEST_01543,B
TEST_01544,B
TEST_01545,A
TEST_01546,B
TEST_01547,A
TEST_01548,B
TEST_01549,C
TEST_01550,A
TEST_01551,B
TEST_01552,A
